Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
659,0,659-0,SAINT KITTS AND NEVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,1.1,659-1.1,,,Total arrivals,,,Thousands,,VF,203,172,194,250,226,247,334,240,247,383,365,350,379,533,548,624,723,666,695,818,1036,1055,1194,1278,1107,301.4,122.6,589.1,
662,0,662-0,SAINT LUCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,1.1,662-1.1,,,Total arrivals,,,Thousands,2/,VF,407,422,563,629,666,727,747,648,683,791,720,670,905,925,982,984,950,889,921,987,1031,948,1064,1165,1220,432.5,297,714,
670,0,670-0,SAINT VINCENT AND THE GRENADINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,1.1,670-1.1,,,Total arrivals,,,Thousands,,VF,218,216,200,202,223,256,254,247,242,262,256,306,328,250,271,231,208,200,200,205,207,227,303.6,356,399,155,56.7,210,
882,0,882-0,SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,1.1,882-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,116,122,122,129,130,128,135,125,132,139,146,158,172,181,23.9,2.6,50.6,
674,0,674-0,SAN MARINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,1.1,674-1.1,,,Total arrivals,,,Thousands,1/ 2/,VF,3368,3345,3308,3264,3148,3071,3036,3102,2882,2812,2107,2136,2164,2112,2056,1976,2038,1869,1905,2004,1888,2000,1937,1874,1904,1015,1354,..,
678,0,678-0,SAO TOME AND PRINCIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,1.1,678-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
682,0,682-0,SAUDI ARABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,1.1,682-1.1,,,Total arrivals,,,Thousands,,VF,4398,..,..,..,..,..,..,..,..,11083,10417,10962,13479,17717,13319,13025,15776,19847,19934,23010,21834,20887,18607,17570,20292,4882,3869,18256,
686,0,686-0,SENEGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,1.1,686-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,502,677,779,876,879,877,815,906,977,967,1069,976,1014,1219,1376,..,..,..,..,..,
688,0,688-0,SERBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,1.1,688-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
891,0,891-0,SERBIA AND MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,1.1,891-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
690,0,690-0,SEYCHELLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,1.1,690-1.1,,,Total arrivals,,,Thousands,,VF,127,142,136,134,130,140,138,135,127,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405,428,124.5,183,339,
694,0,694-0,SIERRA LEONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,1.1,694-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,95,53,31,60,59,66,71,26,44,..,
702,0,702-0,SINGAPORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,1.1,702-1.1,,,Total arrivals,,,Thousands,,VF,7137,7292,7198,6242,6958,7691,7522,7567,6127,8329,8943,9751,10285,10116,9683,11642,13171,14496,15568,15095,15231.5,16403,17425,18508,19116,2742,330,6306,
658,0,658-0,SINT EUSTATIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,1.1,658-1.1,,,Total arrivals,,,Thousands,,VF,25,24,25,25,25,27,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
663,0,663-0,SINT MAARTEN (DUTCH PART),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,1.1,663-1.1,,,Total arrivals,,,Thousands,,VF,1024,1022,1325,1339,1061,1300,1271,1436,1600,1823,1956,1890,1891,1821,1655,1956,2080,2210,2253,2502,2407,2197,1640,1775,1952,542,482,1217,
703,0,703-0,SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,1.1,703-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12583,11556,14936,17376,15406,15299,16086,..,..,..,
705,0,705-0,SLOVENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,1.1,705-1.1,,,Total arrivals,,,Thousands,,VF,63674,71876,76568,65587,60009,63580,61878,60031,59388,63013,60230,58274,61293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
90,0,90-0,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1.1,90-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
706,0,706-0,SOMALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1.1,706-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
710,0,710-0,SOUTH AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,1.1,710-1.1,,,Total arrivals,,,Thousands,,VF,4684,5186,5170,5898,6026,6001,5908,6550,6640,6815,7518,8509,9208,9729,9532,11303,12097,13069,14318,14530,13952,15121,14975,15004,14797,3886.6,2664,7342,
728,0,728-0,SOUTH SUDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,1.1,728-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
724,0,724-0,SPAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,1.1,724-1.1,,,Total arrivals,,,Thousands,,VF,52460,55077,62415,68068,72040,74580,75564,79313,82326,85981,92563,96152,98907,97670,91899,93744,99187,98128,103231,107144,109834,115561,121717,124456,126170,36410,51631,104968,
144,0,144-0,SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1.1,144-1.1,,,Total arrivals,,,Thousands,,VF,414,315,384,409,465,445,397,457,583,681,669,689,592,526,538,766,976,1133,1415,1665,1993,2168,2248,2521,2027,540,195,758.8,
275,0,275-0,STATE OF PALESTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,1.1,275-1.1,,,Total arrivals,,,Thousands,,VF,..,795,685,767,907,1055,..,..,..,..,..,..,928,1487,1740,2821,2730,3051,2874,2907,2054,2231,3192,3429,4232,1000,..,..,
736,0,736-0,SUDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,1.1,736-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
740,0,740-0,SURINAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,1.1,740-1.1,,,Total arrivals,,,Thousands,,VF,69,74,78,70,72,72,68,..,100,..,..,154,167,151,151,206,221,240,250,253,229,257,279,..,..,..,..,..,
752,0,752-0,SWEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,1.1,752-1.1,,,Total arrivals,,,Thousands,1/ 2/,VF,..,..,..,..,..,..,7432,7457,7627,..,..,..,..,..,..,..,19405,20011,18803,19945,..,..,..,..,..,..,..,..,
756,0,756-0,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,1.1,756-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
760,0,760-0,SYRIAN ARAB REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,1.1,760-1.1,,,Total arrivals,,,Thousands,1/,VF,2253,2435,2332,2464,2682,3412,3671,4678,4837,6334,5859,5682,5434,6951,7721,10970,6476,..,..,..,..,1043,1291,1802,2424,479,661,..,
158,0,158-0,TAIWAN PROVINCE OF CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1.1,158-1.1,,,Total arrivals,,,Thousands,1/,VF,2332,2358,2372,2299,2411,2624,2831,2978,2248,2950,3378,3520,3716,3845,4395,5567,6087,7311,8016,9910,10440,10690,10740,11067,11864,1378,140,896,
762,0,762-0,TAJIKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,1.1,762-1.1,,,Total arrivals,,,Thousands,,VF,..,0.7,2.1,3.2,4.5,7.7,5.2,..,..,..,..,..,..,325,207,160,183,244,208,213,414,344,431,1035,1257,351,296,..,
834,0,834-0,"TANZANIA, UNITED REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,1.1,834-1.1,,,Total arrivals,,,Thousands,,VF,295,326,360,482,627,501,525,575,576,583,613,644,719,770,714,783,868,1077,1096,1140,1137,1284,1327,1506,1527,621,1027,..,
764,0,764-0,THAILAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,1.1,764-1.1,,,Total arrivals,,,Thousands,,VF,..,7434,7530,8204,9151,10096,10751,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
626,0,626-0,TIMOR-LESTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1.1,626-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
768,0,768-0,TOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,1.1,768-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
776,0,776-0,TONGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,1.1,776-1.1,,,Total arrivals,,,Thousands,,VF,33,31,29,35,44,43,38,45,51,51,60,54,65,65,74.7,65,68.4,57.2,59.7,65.8,72.6,86.7,86.6,77.3,94,11.5,0.2,22.3,
780,0,780-0,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,1.1,780-1.1,,,Total arrivals,,,Thousands,,VF,282,317,360,377,421,503,468,451,474,501,529,534,531,482,534,490,491,504,467,458.6,521.7,498.3,469.8,507.8,481.5,141.1,41.1,253.3,
788,0,788-0,TUNISIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,1.1,788-1.1,,,Total arrivals,,,Thousands,,VF,4186,3986,4392,4831,5000,5244,5663,5322,5492,6419,6975,7176,7512,7750,8507,8640,6038,..,..,..,..,..,..,..,..,..,..,..,
792,0,792-0,TÜRKIYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,1.1,792-1.1,,,Total arrivals,,,Thousands,1/,VF,7727,8614,9689,9753,7487,10428,11619,13256,14030,17517,21125,19820,27215,31138,31760,32997,36769,37715,39861,41627,41114,30907,37970,46113,51747,15971,30039,51388,
795,0,795-0,TURKMENISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,1.1,795-1.1,,,Total arrivals,,,Thousands,,VF,233,282,332,380,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
796,0,796-0,TURKS AND CAICOS ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,1.1,796-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,757,865,899,1010,968,1069,1330,1316,1296,1243,1463,1599,370.4,432,..,
798,0,798-0,TUVALU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,1.1,798-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
800,0,800-0,UGANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,1.1,800-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
804,0,804-0,UKRAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,1.1,804-1.1,,,Total arrivals,,,Thousands,,VF,6127,6750,14743,12003,10990,11691,11877,12793,15161,18583,20489,21714,26162,28827,24033,24114,24535,25061,26025,13227,13025,13734,14579,14342,13710,3382,4272,2307,
784,0,784-0,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,1.1,784-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19313,20894,21805,23092,25282,8084,12784,..,
826,0,826-0,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,1.1,826-1.1,,,Total arrivals,,,Thousands,1/,VF,23537,25163,25515,25745,25394,25209,22835,24180,24715,27755,29970,32713,32778,31888,31072,30398,31886,32221,33567,35337,36792,39129,41080,40283,40857,11101,6384,31244,
840,0,840-0,UNITED STATES OF AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,1.1,840-1.1,,,Total arrivals,,,Thousands,,VF,79732,82756,82525,74767,75796,78343,70975,64434,62082,67606,71484,183178,175299,175703,160508,162275,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478,44792,66594,..,
850,0,850-0,UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,1.1,850-1.1,,,Total arrivals,,,Thousands,,VF,1741,1779,2128,2139,1964,2396,2497,2337,2395,2620,2602,2571,2606,2435,2245,2531,2686,2640,2702,2814,2643,2574,1954,1922,2074,862,1072.4,..,
858,0,858-0,URUGUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,1.1,858-1.1,,,Total arrivals,,,Thousands,,VF,2177,2258,2463,2324,2273,2236,2136,1354,1508,1871,1917,1824,1815,2255,2303,2708,3244,3155,3242,3195,3286,3632,4219,3954,3480,..,234,..,
860,0,860-0,UZBEKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,1.1,860-1.1,,,Total arrivals,,,Thousands,,VF,92,173,960,811,487,302,345,332,231,262,242,560,903,1069,1215,975,1393,1895,1969,1862,1918,2027,2690,5346,6749,1504,1881,5233,
548,0,548-0,VANUATU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,1.1,548-1.1,,,Total arrivals,,,Thousands,,VF,82,103,81,78,96,106,106,99,102,99,126,154,167,196.6,225.5,237.7,248.9,321,357,329,287,351.6,332.7,350.2,256,82.4,..,65,
862,0,862-0,"VENEZUELA, BOLIVARIAN REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,1.1,862-1.1,,,Total arrivals,,,Thousands,,VF,879,960,933,813,702,602,792,590,435,618,846,883,898,702,567,535,625,1061,1085,967,882,681,429,..,..,..,..,..,
704,0,704-0,VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,1.1,704-1.1,,,Total arrivals,,,Thousands,1/,VF,1351,1607,1716,1520,1782,2140,2330,2628,2429,2928,3477,3583,4229,4236,3747,5050,6014,6848,7572,7874,7944,10013,12922,15498,18009,3837,157,3661,
886,0,886-0,YEMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,1.1,886-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1035,1175,1282,1323,1218,398,..,..,..,..,..,..,..,
894,0,894-0,ZAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,1.1,894-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
716,0,716-0,ZIMBABWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,1.1,716-1.1,,,Total arrivals,,,Thousands,,VF,1416,1597,1336,2090,2250,1967,2217,2041,2256,1854,1559,2287,2506,1956,2017,2239,2423,1794,1833,1880,2057,2168,2423,2580,2294,639,381,1044,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"The information is the same as that provided in the ""Compendium of Tourism Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TF,Arrivals of non-resident tourists at national borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VF,Arrivals of non-resident visitors at national borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,THS,Arrivals of non-resident tourists in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TCE,Arrivals of non-resident tourists in all types of accommodation establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,..,Data not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source: World Tourism Organization (UNWTO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
